category;subcategory;product;size;quantity;price
;;Manga corta;XS;50;50
;;Manga corta;XS;100;100
;;Manga corta;XS;200;500
Ropa;Polos;Manga larga;XL;1;50
Ropa;Polos;Manga larga;XL;2;40
Ropa;Polos;Manga larga;XL;5;45
Ropa;Polos;Manga larga;XL;10;30
Ropa;Polos;Manga larga;XL;20;30
Ropa;Polos;Manga larga;XL;40;40
Ropa;Polos;Manga larga;XL;50;50
Ropa;Polos;Manga larga;XL;100;100
Ropa;Polos;Manga larga;XL;200;500
Ropa;Polos;Manga larga;L;1;50
Ropa;Polos;Manga larga;L;2;40
Ropa;Polos;Manga larga;L;5;45
Ropa;Polos;Manga larga;L;10;30
Ropa;Polos;Manga larga;L;20;30
Ropa;Polos;Manga larga;L;40;40
Ropa;Polos;Manga larga;L;50;50
Ropa;Polos;Manga larga;L;100;100
Ropa;Polos;Manga larga;L;200;500
Ropa;Polos;Manga larga;M;1;50
Ropa;Polos;Manga larga;M;2;40
Ropa;Polos;Manga larga;M;5;45
Ropa;Polos;Manga larga;M;10;30
Ropa;Polos;Manga larga;M;20;30
Ropa;Polos;Manga larga;M;40;40
Ropa;Polos;Manga larga;M;50;50
Ropa;Polos;Manga larga;M;100;100
Ropa;Polos;Manga larga;M;200;500
Ropa;Polos;Manga larga;S;1;50
Ropa;Polos;Manga larga;S;2;40
Ropa;Polos;Manga larga;S;5;45
Ropa;Polos;Manga larga;S;10;30
Ropa;Polos;Manga larga;S;20;30
Ropa;Polos;Manga larga;S;40;40
Ropa;Polos;Manga larga;S;50;50
Ropa;Polos;Manga larga;S;100;100
Ropa;Polos;Manga larga;S;200;500
Ropa;Polos;Manga larga;XS;1;50
Ropa;Polos;Manga larga;XS;2;40
Ropa;Polos;Manga larga;XS;5;45
Ropa;Polos;Manga larga;XS;10;30
Ropa;Polos;Manga larga;XS;20;30
Ropa;Polos;Manga larga;XS;40;40
Ropa;Polos;Manga larga;XS;50;50
Ropa;Polos;Manga larga;XS;100;100
Ropa;Polos;Manga larga;XS;200;500
Ropa;Sudaderas;Sin capucha con cierre;;;
Ropa;Camisas;Magan corta;;;
Ropa;Camisas;Manga larga;;;
